School Name,Spring Start,Spring End,Fall Start,Fall End
Uguru University,1/11/2016,5/6/2016,8/24/2015,12/18/2015
Adirondack Community College,1/25/2016,5/19/2016,9/9/2015,12/23/2015
Agnes Scott College,1/11/2016,5/18/2016,8/1/2015,12/22/2015
Aiken Technical College,1/11/2016,5/6/2016,8/17/2015,1/1/2016
Alamance Community College,1/4/16,4/28/16,8/20/15,12/17/15
Alaska Pacific University,1/4/2016,4/29/2016,8/24/2015,12/18/2015
Alderson Broaddus College,1/1/2015,5/9/2015,8/17/2015,12/18/2015
Allen County Community College,1/10/2015,5/25/2015,8/9/2014,1/1/2015
Allen University,1/3/2016,5/6/2016,6/1/2015,12/29/2015
Alliant International University Off,1/19/2016,6/10/2016,8/3/2015,1/15/2016
Alpena Community College,1/4/2016,5/5/2016,8/7/2015,12/10/2015
American Academy Of Art,2/1/2016,5/21/2016,3/9/2015,12/19/2015
American Baptist College,12/11/15,6/30/16,7/30/15,12/21/15
American Indian College Of The Assemblies Of God Inc,1/4/2016,5/10/2016,8/15/2015,12/18/2015
American Indian Oic Inc,2/18/2016,4/15/2016,5/2/2015,10/16/2015
American Intercontinental University,1/7/2016,5/22/2016,8/1/2015,1/3/2016
American Intercontinental University,1/7/2016,5/22/2016,8/1/2015,1/3/2016
American Intercontinental University,1/7/2016,5/22/2016,8/1/2015,1/3/2016
American Intercontinental University-Dunwoody Campus,1/7/2016,5/17/2016,8/1/2015,1/2/2016
Andover Newton Theological School,1/28/2016,5/14/2016,7/29/2015,12/18/2015
Andrew College,1/8/2016,5/7/2016,8/14/2015,12/11/2015
Angelina College,1/5/2015,5/15/2015,8/13/2015,12/16/2015
Anna Maria College,1/15/2016,5/27/2016,8/21/2015,12/19/2015
Antioch University Mcgregor,1/4/2016,4/18/2016,8/22/2015,12/12/2015
Antioch University New England,1/8/2016,5/14/2016,8/22/2015,12/23/2015
Antioch University Seattle,4/6/2015,6/20/2015,10/5/2015,12/19/2015
Antioch University-Los Angeles Branch,11/2/2015,5/22/2016,8/5/2015,12/28/2015
Apollo College-Mesa,1/11/2016,5/10/2016,8/20/2015,12/16/2015
Apollo College-New Mexico,1/4/2016,4/24/2016,8/31/2015,12/20/2015
Apollo College-Portland,1/18/2016,5/7/2016,8/31/2015,12/31/2015
Apollo College-Spokane,1/5/2016,5/11/2016,9/8/2015,12/15/2015
Apollo College-Westside,1/9/2016,5/3/2016,8/31/2015,12/22/2015
Appalachian Technical College,1/4/2016,4/30/16,8/5/15,12/11/15
Aquinas College,1/11/2016,5/7/2016,8/24/2015,12/18/2015
Argosy University-Atlanta,1/7/2016,4/25/2016,8/27/2015,12/14/2015
Argosy University-Dallas,1/15/2016,5/17/2016,8/19/2015,1/9/2016
Argosy University-Dc,1/7/2016,4/25/2016,8/27/2015,12/14/2015
Argosy University-Honolulu,1/15/2015,4/29/2015,8/24/2015,12/23/2015
Argosy University-Orange Co,1/7/2016,4/25/2016,8/27/2015,12/14/2015
Argosy University-Phoenix,1/17/2015,5/15/2015,8/22/2015,12/18/2015
Argosy University-Sarasota,1/19/2016,5/12/2016,8/24/2015,12/12/2015
Argosy University-Schaumburg,1/2/16,4/16/2016,8/29/2015,12/11/2015
Argosy University-Seattle,1/11/2016,6/3/2016,8/20/2015,1/8/2016
Argosy University-Tampa,1/4/2016,5/5/2016,8/3/2015,12/25/2015
Argosy University-Twin Cities,1/18/2016,5/14/2016,9/7/2015,12/23/2015
Arkansas No-Eastern Clg-Byythe,1/4/2016,5/6/2016,8/11/2015,1/1/2016
Arkansas State Univ-Beebe,1/12/2015,5/7/2015,8/17/2015,12/10/2015
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
