School Name,Spring Start,Spring End,Fall Start,Fall End,
Uguru University [SAMPLE],6/22/15,7/22/15,8/15/15,9/23/15,
Adirondack Community College,1/25/15,5/19/15,9/9/15,12/23/15,
Agnes Scott College,1/11/15,8/11/15,8/1/15,12/22/15,
Aiken Technical College,1/11/15,5/6/15,8/1/15,12/21/15,
Alamance Community College,1/21/15,7/17/15,8/17/15,12/17/15,
Alaska Pacific University,1/4/15,4/23/15,8/24/15,12/11/15,
Alderson Broaddus College,1/1/15,8/29/15,8/31/15,7/6/16,
Allen County Community College,1/9/15,5/15/15,8/21/15,12/18/15,
Allen University,1/3/15,5/6/15,6/1/15,12/29/15,
Alliant International University Off,1/19/15,6/10/15,8/3/15,1/15/15,
Alpena Community College,1/4/15,5/5/15,8/7/15,10/12/15,
American Academy Of Art,1/5/15,4/24/15,8/30/15,12/18/15,
American Baptist College,Inactive,Inactive,Inactive,Inactive,
American Indian College Of The Assemblies Of God Inc,,,,,
American Indian Oic Inc,,"
",,,
American Intercontinental University,7/1/15,5/17/15,8/1/14,24/12/2014,"***6-week courses - many overlap traditional ""terms"""
American Intercontinental University,7/1/15,5/17/15,8/1/14,24/12/2014,
American Intercontinental University,7/1/15,5/17/15,8/1/14,24/12/2014,
American Intercontinental University-Dunwoody Campus,5/1/15,6/7/15,7/20/15,12/14/15,
Andover Newton Theological School,1/29/15,5/16/15,7/30/15,12/19/15,
Andrew College,,,,,
Angelina College,,,,,
Anna Maria College,1/15/16,5/27/16,8/21/15,12/19/15,* search comes out for Antioch University Midwest...no results for mcgregor
Antioch University Mcgregor,2/10/15,6/21/15,8/11/15,12/28/15,
Antioch University New England,1/10/15,5/16/15,8/22/15,1/3/16,
Antioch University Seattle,2/10/15,5/25/15,8/11/15,12/28/15,
Antioch University-Los Angeles Branch,3/15/15,10/20/15,2/15/15,12/26/15,
Apollo College-Mesa,1/16/15,5/30/15,8/22/15,12/25/15,"* apollo college was change into Carrington college in February 13, 2015...Mesa Campus start there classes this July 13, 2015"
Apollo College-New Mexico,,,,,"* New Mexico Campus will start in 39 days August 10, 2015."
Apollo College-Portland,,,,,"* Portland Campus also start in 39 days August 10, 2015."
Apollo College-Spokane,,,,,"* Spokane Campus also start in 39 days August 10, 2015."
Apollo College-Westside,,,,,"* Westside Campus will start in 34 days August 3, 2015."
Appalachian Technical College,1/8/15,5/12/15,8/17/15,15/12/2015,* now Chattahoochee Technical College.
Aquinas College,1/11/15,5/7/15,8/24/15,12/18/15,
Argosy University-Atlanta,1/15/15,5/4/15,8/27/15,12/14/15,
Argosy University-Dallas,1/15/15,5/4/15,8/27/15,12/14/15,
Argosy University-Dc,1/15/15,5/4/15,8/27/15,12/14/15,
Argosy University-Honolulu,1/15/15,5/4/15,8/27/15,12/14/15,
Argosy University-Orange Co,1/15/15,5/4/15,8/27/15,12/14/15,
Argosy University-Phoenix,1/15/15,5/4/15,8/27/15,12/14/15,
Argosy University-Sarasota,1/15/15,5/4/15,8/27/15,12/14/15,
Argosy University-Schaumburg,1/15/15,5/4/15,8/27/15,12/14/15,
Argosy University-Seattle,1/15/15,5/4/15,8/27/15,12/14/15,
Argosy University-Tampa,1/15/15,5/4/15,8/27/15,12/14/15,
Argosy University-Twin Cities,1/15/15,5/4/15,8/27/15,12/14/15,
Arkansas No-Eastern Clg-Byythe,3/28/15,6/11/15,9/7/15,12/25/15,
Arkansas State Univ-Beebe,1/12/15,5/7/15,8/17/15,10/12/15,
