pleasue enter the dates in mm/dd format,fall start,fall end,spring start,spring end,,
GROUP 1,,,,,,
Caldwell Community College And Technical Institute,,,,,,
California Christian College,20/08/2014,02/01/2015,14/01/2015,09/05/2015,,
California Institute Of The Arts,07/07/2015,12/12/2015,10/11/2015,15/05/2015,,
California State University-Monterey Bay,01/06/2015,26/06/2015,,,,
Calvary Bible College And Theological Seminary,,,,,,
Cambridge Clg-Cambridge,19/01/2015,22/12/2015,18/06/2015,29/07/2015,,
Cankdeska Cikana Community College,01/06/2015,26/06/2015,01/07/2015,"July 23-24, 2015",,
Capitol College,,,,,,
Carl Albert State College,13/08/2014,"Nov 24Ð28, 2014",14/01/2015,April 2 & 3-2015,,
Carlos Albizu University-Miami Campus,01/06/2015,12/12/2015,01/10/2014,18/04/2015,,
Carroll College,,,,,,
Carteret Community College,19/08/2014,17/12/2014,07/01/2015,06/05/2015,,
Cascade College,"May 6-8, 2015",16/12/2015,,,,
Catawba Valley Community College,18/08/2014,17/12/2014,08/01/2015,08/05/2015,,
Catholic University Of America,31/08/2014,14/12/2014,11/01/2015,30/04/2015,,
Centenary College Of Louisiana,31/08/2014,11/12/2014,07/01/2015,24/04/2015,,
Central Baptist College,20/08/2014,30/11/2014,15/01/2015,27/04/2015,,
Central Bible College,,,,,,
Central Carolina Technical College,17/08/2015,09/12/2015,12/01/2015,29/04/2015,,
Central Christian College Of Kansas,24/08/2015,11/11/2015,01/02/2016,19/04/2016,,
Central Lakes College-Brainerd,24/08/2015,14/12/2015,11/01/2016,06/05/2016,,
Central New Mexico Community College,17/08/2015,12/12/2015,,,,
Central Ohio Technical College,,,11/01/2016,27/04/2016,,
Central Oregon Community College,9/28/0215,13/12/2015,30/03/2015,14/06/2015,,
Central Piedmont Cmty Clg-Lev,17/08/2015,11/12/2015,12/01/2015,12/05/2015,,
Central Virginia Community College,24/08/2015,15/12/2015,,,,
Central Wyoming College,31/08/2015,16/12/2015,,,,
Champlain College,31/08/2015,11/12/2015,18/01/2016,29/04/2016,,
Charles Drew University Of Medicine And Science,25/08/2014,10/10/2014,12/01/2015,09/03/2015,,
Chief Dull Knife College,02/09/2014,12/12/2014,12/01/2015,01/05/2015,,
Chowan University,20/08/2013,02/12/2013,14/01/2014,25/03/2014,,
Church Divinity School Of The Pacific,02/09/2014,12/12/2014,02/02/2015,22/05/2015,,
Cisco Junior College,,,,,,
City Colleges Of Chicago Sys,24/08/2015,12/12/2015,11/01/2016,07/05/2016,,
Claflin University,18/08/2014,24/10/2014,12/01/2015,23/04/2015,,
Clarendon College,27/08/2014,20/11/2014,20/01/2015,16/04/2015,,
Clark University,,,,,,
Clarkson College,31/08/2015,11/12/2015,12/01/2015,01/05/2015,,
Clatsop Community College,28/09/2015,11/12/2015,01/03/2016,10/06/2016,,
Clearwater Christian College,24/08/2015,11/12/2015,20/01/2015,07/05/2015,,
Cleary University-Washtenaw,,,01/06/2015,12/07/2015,,
Cleveland Community College,17/08/2015,14/12/2015,11/01/2016,09/05/2016,,
Cleveland State Community College,25/08/2014,06/12/2014,20/01/2015,02/05/2015,,
Clg Menominee Nation-Keshena,24/08/2014,"Dec 7-13, 2014",25/01/2015,"May 10-16, 2015",,
Clg Of S Nevada-W Charleston,25/08/2014,14/12/2014,20/01/2015,17/05/2015,,
Clg Of Santa Fe-Santa Fe,,,,,,
Clg Of The Albemarle-Eliz City,16/09/2014,15/12/2014,08/01/2015,27/07/2015,,
Clg Of The Southwest-Hobbs,,,,,,
Clinton Community College,24/08/2015,11/12/2015,26/01/2015,15/05/2015,,
Cmty Clg Of Vermont-Waterbury,08/09/2015,21/12/2015,26/01/2015,08/05/2015,,
Coahoma Community College,25/08/2014,17/10/2014,20/01/2015,19/03/2015,,
Coastal Bend College-Beeville,25/08/2014,05/12/2014,12/01/2015,"May 1-7, 2015",,
Coconino County Community College,,,,,,
Cogswell Polytechnical College,08/09/2015,19/12/2015,20/01/2015,09/05/2015,,
Colby Community College,18/08/2014,24/10/2014,12/01/2015,27/03/2015,,
Colby-Sawyer College,08/09/2015,11/12/2015,19/01/2016,29/04/2016,,
Colgate Rochester Crozer Divinity School,25/08/2014,12/12/2014,02/02/2015,08/05/2015,,
College For Creative Studies,08/09/2015,19/12/2015,,,,
College Of Eastern Utah,,,,,,
College Of Saint Marys,26/08/2015,"Dec 4 - 6, 2015",13/01/2016,"April 29 - May 1, 2016",,
College Of St Catherine,,,,,,
College Of St Joseph,24/08/2015,10/12/2015,12/01/2015,07/05/2015,,
College Of The Mainland,25/08/2014,13/12/2014,20/01/2015,05/06/2015,,
Colorado College,,,,,,
Colorado Northwestern Community College,25/08/2014,20/11/2014,12/01/2015,13/04/2015,,
Columbia Gorge Community College,22/09/2014,14/11/2014,30/03/2015,22/05/2015,,
Columbia International University,,,,,,
Columbia University In The City Of New York,02/09/2014,08/12/2014,20/01/2015,04/05/2015,,
Columbia-Greene Community College,08/09/2015,21/12/2014,20/01/2015,11/05/2015,,
Columbus College Of Art And Design,,,,,,
Community College Of Beaver County,,,,,,
Community College Of The Air Force,,,,,,
Concordia College,,,,,,
Concordia University,08/09/2015,07/12/2015,,,,
Concordia University,08/09/2015,07/12/2015,,,,
Concordia University-Ann Arbor,31/08/2015,06/11/2015,25/01/2016,01/04/2016,,
Concordia University-Wisconsin,31/08/2015,06/11/2015,25/01/2016,01/04/2016,,
Connors State Clg-Warner,,,,,,
Copiah-Lincoln Community College,,,,,,
Copiah-Lincoln Community College-Natchez Campus,,,,,,
Copper Mountain College,17/08/2015,19/12/2015,19/01/2016,25/05/2016,,
Corban College,,,,,,
Cornell College,,,,,,
Cottey College,,,,,,
Covenant College,28/08/2015,10/12/2015,13/01/2016,28/04/2016,,
Craven Community College,18/08/2014,16/12/2014,08/01/2015,11/05/2015,,
Crowder College,17/08/2015,18/11/2015,12/01/2015,30/04/2015,,
Crowley'S Ridge College,,,,,,
Crown College,27/08/2014,29/10/2014,14/01/2015,23/03/2015,,
Csu Dominguez Hills,17/08/2015,21/12/2015,19/01/2016,25/05/2016,,
Csu East Bay,23/09/2015,13/12/2015,30/03/2015,14/06/2015,,
Csu San Marcos,31/08/2015,12/12/2015,25/01/2016,13/05/2016,,
Csu Stanislaus,21/08/2014,09/12/2014,27/01/2015,15/05/2015,,
Culver-Stockton College,25/08/2014,19/12/2014,12/01/2015,12/05/2015,,
Cuny College Of Staten Island,"August 27 - Sept 1, 2015",01/12/2015,28/01/2015,01/05/2015,,
Cuny Hostos Community College,27/08/2015,14/12/2015,28/01/2015,16/05/2015,,
Cuny Hunter College,28/08/2014,23/12/2014,28/01/2015,24/05/2015,,
Cuny Laguardia Community College,08/09/2015,09/12/2015,18/06/2015,02/08/2015,,
Cuny Queens College,28/08/2014,15/12/2014,27/01/2014,23/05/2015,,
Cuny York College,28/08/2014,23/12/2014,28/01/2015,24/05/2015,,
Cabrillo College,31/08/2015,19/12/2015,28/01/2015,21/05/2015,,
Cabrini College,02/09/2014,18/12/2014,06/01/2015,23/04/2015,,
Cal Polytechnic State University,15/09/2014,05/12/2014,30/03/2015,"June 13- 14, 2015",,
Cal St University-San Bernardino,24/09/2015,07/12/2015,04/04/2016,13/06/2016,,
Cal State Polytech-Pomona,25/09/2014,"Oct 2-15, 2015",30/03/2015,"April 7-20, 2015",,
Caldwell College,31/08/2015,12/12/2015,25/01/2016,05/05/2016,,
Calhoun Community College,17/08/2015,08/12/2015,11/01/2016,04/05/2016,,
Calif Institute Of Integral Studies,28/08/2014,15/12/2014,20/01/2015,11/05/2015,,
California Baptist University,02/09/2014,24/10/2014,07/01/2015,06/03/2015,,
California College Of Arts-Oakland,31/08/2015,11/12/2015,19/01/2016,06/05/2016,,
California Institute Of Technology,29/09/2014,12/12/2014,30/03/2015,12/06/2015,,
California Lutheran University,02/09/2015,18/12/2015,20/01/2016,13/05/2016,,
California St University-Fresno,21/08/2014,"Dec 15-18, 2014",15/01/2015,"May 11- 14, 2015",,
California St University-Fullerton,25/08/2014,"Dec 15-19, 2014",20/01/2015,"May 11- 15, 2015",,
California St University-Long Beach,25/08/2014,"Dec 11-17, 2014",20/01/2015,"May 11- 16, 2015",,
California St University-Los Angeles,25/09/2014,"Dec 8-13, 2014",30/03/2015,"June 8-13, 2015",,
California St University-Northridge,25/08/2014,"Dec 10-16, 2014",20/01/2015,"May 9-15, 2015",,
California St University-Sacramento,02/09/2014,"Dec 15-19, 2014",26/01/2015,"May 18-22, 2015",,
California State University Chico,25/08/2014,"Dec 15-19, 2014",20/01/2015,"May 11-15, 2015",,
California University Of Pa,24/08/2015,04/12/2015,"Nov 2-6, 2015",02/05/2016,,
Calumet College Of St Joseph,16/08/2014,04/12/2014,03/01/2016,22/04/2016,,
Calvin College,02/09/2014,08/12/2014,02/02/2015,14/05/2015,,
Camden County College,03/09/2014,23/12/2014,21/01/2015,14/05/2015,,
Cameron University,17/08/2014,14/12/2014,07/01/2015,08/05/2015,,
Campbellsville University,25/08/2014,13/12/2014,12/01/2015,09/05/2015,,
Canada College,18/08/2014,19/12/2014,22/01/2015,01/06/2015,,
Canisius College,25/08/2014,10/10/2014,12/01/2015,27/02/2015,,
Cape Cod Community College,08/09/2015,11/12/2015,25/01/2016,09/05/2016,,
Capital Community College,25/08/2015,23/12/2015,19/01/2016,01/06/2016,,
Capital University,25/08/2014,11/12/2014,05/01/2015,21/04/2015,,
Cardinal Stritch University,25/08/2014,08/12/2014,20/01/2015,11/05/2015,,
Carl Sandburg College-Galesburg,17/08/2015,17/11/2015,11/01/2016,19/04/2016,,
Carleton College,14/09/2015,18/11/2015,28/03/2016,01/06/2016,,
Carlow University,07/07/2015,11/12/2015,11/05/2015,30/07/2015,,
Carnegie-Mellon University,25/08/2014,05/12/2014,12/01/2015,02/03/2015,,
Carroll College,25/08/2014,10/12/2014,20/01/2015,07/05/2015,,
Carroll Community College,,,,,,
Carson-Newman College,,,,,,
Carthage College,03/09/2014,09/12/2014,04/02/2015,15/05/2015,,
Case Western Reserve University,26/08/2014,05/12/2014,13/01/2015,27/04/2015,,
Casper College,24/08/2014,18/12/2014,19/01/2015,13/05/2015,,
Castleton State College,24/08/2015,11/12/2015,11/01/2016,29/04/2016,,
Catawba College,20/08/2014,05/12/2014,13/01/2015,04/05/2015,,
Catholic University Of America,25/08/2014,05/12/2014,12/01/2015,02/05/2015,,
Cazenovia College,26/08/2014,08/12/2014,21/01/2015,04/05/2015,,
Cecil College,27/07/2015,05/12/2015,04/01/2016,02/05/2016,,
Cedar Crest College,25/08/2014,08/12/2014,20/01/2015,04/05/2015,,
Cedar Valley College,25/08/2014,11/12/2014,20/01/2015,14/05/2015,,
Cedarville University,01/08/2014,17/12/2014,05/01/2015,06/05/2015,,
Centenary College,03/08/2015,"Dec 14-18, 2015",06/01/2016,22/04/2016,,
Central Alabama Community College-Alex,18/08/2014,08/12/2014,12/01/2015,04/05/2015,,
Central Arizona College-Signal Pea,15/08/2014,13/12/2014,16/01/2015,14/05/2015,,
Central College,27/08/2014,"Dec 16-18, 2014",19/01/2015,"May 12-14, 2015",,
Central Community College-Grand Island,18/08/2014,12/12/2014,12/01/2015,07/05/2015,,
Central Connecticut State University,31/08/2015,23/12/2015,15/01/2016,31/05/2016,,
Central Florida Community College-Ocala,,,,,,
Central Georgia Tech College,16/08/2015,15/12/2015,05/01/2016,04/05/2016,,
Central Maine Community College,02/09/2014,20/12/2014,20/01/2015,11/05/2015,,
Central Methodist University,18/08/2014,05/12/2014,12/01/2015,01/05/2015,,
Central Michigan University,31/08/2015,11/12/2015,12/01/2015,09/05/2015,,
Central New Mexico Community College,,,,,,
Central State University,17/08/2015,12/12/2015,11/01/2016,05/05/2016,,
Central Texas College,24/08/2015,"Dec 7-11, 2015",20/01/2015,15/05/2015,,
Central Washington University,24/09/2014,11/12/2014,31/03/2015,11/06/2015,,
Centre College,01/09/2014,"Dec 8-12, 2014",04/02/2015,24/05/2015,,
Century College,25/08/2014,18/12/2014,12/01/2015,14/05/2015,,
Cerritos College,18/08/2014,19/12/2014,12/01/2015,22/05/2015,,
Cerro Coso Community College-Indian Wel,23/08/2014,13/12/2014,17/01/2015,15/05/2015,,
Chabot College,17/08/2015,"Dec 12-18, 2015",20/01/2015,29/05/2015,,
Chadron State College,24/08/2015,18/12/2015,12/01/2015,09/05/2015,,
Chaffey College,17/08/2015,18/12/2015,12/01/2015,20/05/2015,,
Chaminade University,25/08/2014,11/12/2014,12/01/2015,07/05/2015,,
Chandler Gilbert Community College,23/08/2014,19/12/2014,17/01/2015,15/05/2015,,
Chapman University-Orange,02/09/2014,"Dec 15-20, 2014",02/02/2015,"May 22-24, 2015",,
Charter Oak State College,,,,,,
Chatham College,,,,,,
Chattahoochee Tech College-Mariett,17/08/2015,12/12/2015,12/01/2015,09/05/2015,,
Chattahoochee Valley Community College,,,,,,
Chattanooga St Tech Community College,25/08/2014,10/12/2014,20/01/2015,06/05/2015,,
Chemeketa Community College-Salem,,,,,,
Chesapeake College,25/08/2014,"Dec 8-13, 2014",20/01/2015,"May 5-11, 2015",,
Chestnut Hill College,24/08/2015,12/12/2015,18/01/2016,13/05/2016,,
Cheyney University,,,,,,
Chicago State University,25/08/2014,19/12/2014,17/12/2014,15/05/2015,,
Chipola Junior College,,,,,,
Christian Brothers University,25/08/2014,"Dec 15-19, 2014",12/01/2015,"May 6-11, 2015",,
Christopher Newport University,25/08/2014,13/12/2014,07/01/2015,09/05/2015,,
Cincinnati State Tech/Community College,25/08/2014,13/12/2014,12/01/2015,02/05/2015,,
Citrus College,22/08/2014,13/12/2014,16/02/2015,13/06/2015,,
City College Of New York,27/08/2015,23/12/2015,28/01/2015,24/05/2015,,
City College Of San Francisco,17/08/2015,"Dec 19-20, 2015",12/01/2015,22/05/2015,,
City University Of Seattle,,,,,,
Clackamas Community College,28/09/2015,12/12/2015,28/03/2016,11/06/2016,,
Claremont Graduate University,31/08/2015,19/12/2015,19/01/2016,14/05/2016,,
Claremont Mckenna College,01/09/2015,"Dec 14-18, 2015",19/01/2016,14/05/2016,,
Clarion University Of Pennsylvania,25/08/2014,12/12/2014,20/01/2015,08/05/2015,,
Clark Atlanta University,20/08/2014,12/12/2014,14/01/2015,09/05/2015,,
Clark College,21/09/2015,"Dec 7-10, 2015",04/04/2016,"June 13-16, 2016",,
Clark State Community College,25/08/2014,12/12/2014,12/01/2015,08/05/2015,,
Clarke College,21/09/2014,"Dec 7-10, 2014",04/04/2015,"June 13-16, 2015",,
Clarkson University,25/08/2014,12/12/2014,08/01/2015,24/04/2015,,
Clayton State University,,,,,,
Clemson University,20/08/2014,"Dec 8-12, 2014",07/01/2015,"April 27 - May 1, 2015",,
Clermont College,,,,,,
Cleveland State University,23/08/2014,"Dec 8-13, 2014",,,,
Cloud County Community College,13/08/2014,"Dec 8-13, 2014",21/01/2015,14/05/2015,,
Clovis Community College,17/08/2014,04/12/2014,12/01/2015,08/05/2015,,
Coastal Georgia Community College,,,,,,
Coastline Community College,24/08/2014,14/12/2014,31/01/2015,31/05/2015,,
Cochise College,16/05/2014,15/10/2014,05/01/2015,16/03/2015,,
Coe College,31/08/2015,14/12/2015,11/01/2016,27/04/2016,,
Coker College,21/08/2013,"Dec 7-12, 2013",15/01/2014,"May 8-13, 2014",,
Colby College,09/09/2014,"Dec 16-21, 2014",,,,
Colgate University,,,,,,
College Of Alameda,18/08/2014,12/12/2014,20/01/2015,22/05/2015,,
College Of Charleston,,,,,,
College Of Lake County,24/08/2015,18/12/2015,20/01/2015,15/05/2015,,
College Of Marin - Kentfield,17/08/2015,12/12/2015,,,,
College Of Mount Saint Joseph,,,,,,
College Of Mt St Vincent,,,,,,
College Of Notre Dame Of Md,,,,,,
College Of S Nevada - Cheyenne,24/08/2015,13/12/2015,,,,
College Of Saint Benedict,25/08/2014,16/12/2014,12/01/2015,08/05/2015,,
College Of Saint Elizabeth,22/08/2015,12/12/2015,16/01/2016,29/04/2016,,
College Of Saint Rose,25/08/2014,12/12/2014,12/01/2015,06/05/2015,,
College Of San Mateo,18/08/2014,19/12/2014,22/01/2015,"May 26-June 1, 2015",,
College Of South Maryland-La Plata,,,,,,
College Of Southern Idaho,24/08/2015,17/12/2015,19/01/2016,12/05/2016,,
College Of St Scholastica,,,,,,
College Of The Canyons,25/08/2014,13/12/2014,09/02/2015,04/06/2015,,
College Of The Desert,31/08/2015,18/12/2015,01/02/2016,27/05/2016,,
College Of The Holy Cross,02/09/2015,19/12/2015,26/01/2016,18/05/2016,,
College Of The Ozarks,25/08/2014,24/10/2014,12/01/2015,13/03/2015,,
College Of The Redwoods,23/08/2014,13/12/2014,17/01/2015,15/05/2015,,
College Of The Sequoias,,,,,,
College Of The Siskiyous-Weed,18/08/2014,18/12/2014,12/01/2015,21/05/2015,,
College Of William & Mary,27/08/2014,"Dec 15-17, 2014",21/01/2015,"May 11-13, 2015",,
College Of Wooster,20/08/2014,"Dec 8-11, 2014",12/01/2015,"May 4-7, 2015",,
Collin Co Community College - Spring Creek,,,,,,
Collin Co Community College District,,,,,,
Colorado Christian University,25/08/2014,"Dec 15-19, 2014",12/01/2015,"May 4-8, 2015",,
Colorado Mt College-Glenwood Spr,24/08/2015,11/12/2015,18/01/2016,06/05/2016,,
