School Name,Spring Start,Spring End,Fall Start,Fall End
test University,6/22/15,7/22/15,8/15/15,9/23/15
Adirondack Community College,1/25/16,5/19/16,9/9/15,12/23/15
Agnes Scott College,1/11/16,5/18/16,8/1/15,12/22/15
Aiken Technical College,1/11/16,5/6/16,8/17/15,1/1/16
Alamance Community College,1/4/16,4/28/16,8/20/15,12/17/15
Alaska Pacific University,1/4/16,4/29/16,8/24/15,12/18/15
Alderson Broaddus College,1/1/15,5/9/15,8/17/15,12/18/15
Allen County Community College,1/10/15,5/25/15,8/9/14,1/1/15
Allen University,1/3/16,5/6/16,6/1/15,12/29/15
Alliant International University Off,1/19/16,6/10/16,8/3/15,1/15/16
Alpena Community College,1/4/16,5/5/16,8/7/15,12/10/15
American Academy Of Art,2/1/16,5/21/16,3/9/15,12/19/15
American Baptist College,12/11/15,6/30/16,7/30/15,12/21/15
American Indian College Of The Assemblies Of God Inc,1/4/16,5/10/16,8/15/15,12/18/15
American Indian Oic Inc,2/18/16,4/15/16,5/2/15,10/16/15
American Intercontinental University,1/7/16,5/22/16,8/1/15,1/3/16
American Intercontinental University,1/7/16,5/22/16,8/1/15,1/3/16
American Intercontinental University,1/7/16,5/22/16,8/1/15,1/3/16
American Intercontinental University-Dunwoody Campus,1/7/16,5/17/16,8/1/15,1/2/16
Andover Newton Theological School,1/28/16,5/14/16,7/29/15,12/18/15
Andrew College,1/8/16,5/7/16,8/14/15,12/11/15
Angelina College,1/5/15,5/15/15,8/13/15,12/16/15
Anna Maria College,1/15/16,5/27/16,8/21/15,12/19/15
Antioch University Mcgregor,1/4/16,4/18/16,8/22/15,12/12/15
Antioch University New England,1/8/16,5/14/16,8/22/15,12/23/15
Antioch University Seattle,4/6/15,6/20/15,10/5/15,12/19/15
Antioch University-Los Angeles Branch,11/2/15,5/22/16,8/5/15,12/28/15
Apollo College-Mesa,1/11/16,5/10/16,8/20/15,12/16/15
Apollo College-New Mexico,1/4/16,4/24/16,8/31/15,12/20/15
Apollo College-Portland,1/18/16,5/7/16,8/31/15,12/31/15
Apollo College-Spokane,1/5/16,5/11/16,9/8/15,12/15/15
Apollo College-Westside,1/9/16,5/3/16,8/31/15,12/22/15
Appalachian Technical College,1/4/16,4/30/16,8/5/15,12/11/15
Aquinas College,1/11/16,5/7/16,8/24/15,12/18/15
Argosy University-Atlanta,1/7/16,4/25/16,8/27/15,12/14/15
Argosy University-Dallas,1/15/16,5/17/16,8/19/15,1/9/16
Argosy University-Dc,1/7/16,4/25/16,8/27/15,12/14/15
Argosy University-Honolulu,1/15/15,4/29/15,8/24/15,12/23/15
Argosy University-Orange Co,1/7/16,4/25/16,8/27/15,12/14/15
Argosy University-Phoenix,1/17/15,5/15/15,8/22/15,12/18/15
Argosy University-Sarasota,1/19/16,5/12/16,8/24/15,12/12/15
Argosy University-Schaumburg,1/2/16,4/16/16,8/29/15,12/11/15
Argosy University-Seattle,1/11/16,6/3/16,8/20/15,1/8/16
Argosy University-Tampa,1/4/16,5/5/16,8/3/15,12/25/15
Argosy University-Twin Cities,1/18/16,5/14/16,9/7/15,12/23/15
Arkansas No-Eastern Clg-Byythe,1/4/16,5/6/16,8/11/15,1/1/16
Arkansas State Univ-Beebe,1/12/15,5/7/15,8/17/15,12/10/15
