extension.py:81 Configuring CORS with resources: {'/*': {'automatic_options': True, 'allow_headers': ['.*'], 'send_wildcard': False, 'intercept_exceptions': True, 'origins': ['.*'], 'vary_header': True, 'supports_credentials': False, 'resources': '/*', 'methods': 'DELETE, GET, HEAD, OPTIONS, PATCH, POST, PUT'}}
University Name, Website, College Application Submission Date, Source
UC Berkeley, www.berkeley.edu, 11/30/2015, http://admissions.berkeley.edu/datesdeadlines
145, Ohio Wesleyan University, None, , 
53, College of The Holy Cross, None, , 
62, University Of Rochester, None, , 
56, Franklin and Marshall College, www.fandm.edu, , 
80, Occidental College, www.oxy.edu, , 
151, Saint Michaels College, smcvt.edu, , 
97, Mount Holyoke College, mtholyoke.edu, , 
207, St Marys College of Maryland, None, , 
36, Boston College, bc.edu, , 
45, University of Michigan - Dearborn, None, , 
133, Juniata College, www.juniata.edu, , 
203, Samford University, www.samford.edu, , 
55, Hamilton College, None, , 
98, Sewanee: The University of The South, None, , 
171, Hampden-Sydney College, None, , 
175, Wheaton College, None, , 
92, Elms College, www.elms.edu, , 
4, Princeton University, princeton.edu, , 
219, Saint Marys College of California, None, , 
218, University of California Santa Cruz, www.ucsc.edu, , 
198, University of Pittsburgh, www.pitt.edu, , 
15, Wesleyan University, wesleyan.edu, , 
57, Union College, http://union.edu, , 
88, Dickinson College, dickinson.edu, , 
2, Stanford University, www.stanford.edu, , 
67, Johns Hopkins University, www.jhu.edu, , 
146, Clark University, www.clarku.edu, , 
127, Case Western Reserve University, www.case.edu, , 
23, Duke University, www.duke.edu, , 
33, Washington and Lee University, www.wlu.edu, , 
205, Carroll College, None, , 
159, St Thomas Aquinas College, None, , 
187, University of Portland, www.up.edu, , 
180, New College Of California, None, , 
80, Dakota State University, http://www.dsu.edu/, http://www.dsuathletics.com, , 
138, St Lawrence University, None, , 
29, University of Michigan , www.umich.edu, , 
199, Manhattan College, www.manhattan.edu, , 
189, Southern Illinois University, http://www.siusystem.edu/, , 
102, Skidmore College, skidmore.edu, , 
143, Drake University, www.drake.edu, , 
24, University of Cincinnati, www.uc.edu, , 
93, Rhodes College, www.rhodes.edu, , 
19, Northwestern University, northwestern.edu, , 
107, Indiana University, None, , 
70, University of Wisconsin-Madison, None, , 
206, Catholic University of America, www.cua.edu, , 
129, Virginia Military Institute, vmi.edu, , 
211, United States Merchant Marine Academy, www.usmma.edu, , 
51, Colorado College, www.coloradocollege.edu, , 
84, Connecticut College, official website, , 
71, Virginia Polytech Institute/St University, None, , 
167, North Carolina State University, www.ncsu.edu, , 
