Ohio Wesleyan University, None, 145
College of The Holy Cross, None, 53
University Of Rochester, None, 62
Franklin and Marshall College, www.fandm.edu, 56
Occidental College, www.oxy.edu, 80
Saint Michaels College, smcvt.edu, 151
Mount Holyoke College, mtholyoke.edu, 97
St Marys College of Maryland, None, 207
Boston College, bc.edu, 36
University of Michigan - Dearborn, None, 45
Juniata College, www.juniata.edu, 133
Samford University, www.samford.edu, 203
Hamilton College, None, 55
Hampden-Sydney College, None, 171
Wheaton College, None, 175
Elms College, www.elms.edu, 92
Princeton University, princeton.edu, 4
University of California Santa Cruz, www.ucsc.edu, 218
University of Pittsburgh, www.pitt.edu, 198
Union College, http://union.edu, 57
Dickinson College, dickinson.edu, 88
Stanford University, www.stanford.edu, 2
Johns Hopkins University, www.jhu.edu, 67
Clark University, www.clarku.edu, 146
Case Western Reserve University, www.case.edu, 127
Duke University, www.duke.edu, 23
Wesleyan University, wesleyan.edu, 15
Washington and Lee University, www.wlu.edu, 33
Carroll College, None, 205
St Thomas Aquinas College, None, 159
University of Portland, www.up.edu, 187
St Lawrence University, None, 138
University of Michigan , www.umich.edu, 29
Manhattan College, www.manhattan.edu, 199
Southern Illinois University, http://www.siusystem.edu/, 189
Skidmore College, skidmore.edu, 102
Drake University, www.drake.edu, 143
University of Cincinnati, www.uc.edu, 24
Rhodes College, www.rhodes.edu, 93
Northwestern University, northwestern.edu, 19
Indiana University, None, 107
University of Wisconsin-Madison, None, 70
Catholic University of America, www.cua.edu, 206
Virginia Military Institute, vmi.edu, 129
United States Merchant Marine Academy, www.usmma.edu, 211
Colorado College, www.coloradocollege.edu, 51
Connecticut College, official website, 84
North Carolina State University, www.ncsu.edu, 167
Kalamazoo College, www.kzoo.edu, 111
Columbia University, www.columbia.edu, 20
University of San Francisco, None, 214
Trinity College, None, 83
Transylvania University, http://www.transy.edu/, 184
Wittenberg University, www.wittenberg.edu, 210
Wabash College, wabash.edu, 179
Villanova University, None, 71
James Madison University, www.jmu.edu, 188
Lawrence University, www.lawrence.edu, 106
Bennington College, www.bennington.edu/, 125
Bates College, bates.edu, 60
University of Utah, www.utah.edu, 141
Us Air Force Academy, None, 34
Washington University in St. Louis, www.wustl.edu, 63
Reed College, reed.edu, 46
Colby College, colby.edu, 39
Brown University, brown.edu, 13
Centre College, www.centre.edu, 81
Westmont College, www.westmont.edu, 161
Denison University, [2], 95
Marquette University, www.marquette.edu, 208
Harvard University, harvard.edu, 7
Tulane University, tulane.edu, 147
Pitzer College, www.pitzer.edu, 104
University of Puget Sound, www.pugetsound.edu, 181
Loyola Marymount University, www.lmu.edu, 183
Wofford College, www.wofford.edu, 85
Hope College, www.hope.edu, 172
University of Tennessee Martin, www.utm.edu, 53
Haverford College, None, 11
Louisiana State University, www.lsu.edu, 190
Lafayette College, www.lafayette.edu, 48
Hampshire College, hampshire.edu, 110
University of California-San Diego, None, 126
Smith College, smith.edu, 49
Providence College, www.providence.edu, 105
Pomona College, pomona.edu, 8
Ursinus College, official website, 193
