School Name,Spring Start,Spring End,Fall Start,Fall End,
Uguru University [SAMPLE] ,6/22/15,7/22/15,8/15/15,9/23/15,
Adirondack Community College,,,,,
Agnes Scott College,,,,,
Aiken Technical College,,,,,
Alamance Community College,,,,,
Alaska Pacific University,,,,,
Alderson Broaddus College,,,,,
Allen County Community College,,,,,
Allen University,,,,,
Alliant International University Off,,,,,
Alpena Community College,,,,,
American Academy Of Art,,,,,
American Baptist College,Inactive,Inactive,Inactive,Inactive,
American Indian College Of The Assemblies Of God Inc,,,,,
American Indian Oic Inc,,"
",,,
American Intercontinental University,,,,,"***6-week courses - many overlap traditional ""terms"""
American Intercontinental University,,,,,
American Intercontinental University,,,,,
American Intercontinental University-Dunwoody Campus,,,,,
Andover Newton Theological School,,,,,
Andrew College,,,,,
Angelina College,,,,,
Anna Maria College,,,,,* search comes out for Antioch University Midwest...no results for mcgregor
Antioch University Mcgregor,,,,,
Antioch University New England,,,,,
Antioch University Seattle,,,,,
Antioch University-Los Angeles Branch,,,,,
Apollo College-Mesa,,,,,"* apollo college was change into Carrington college in February 13, 2015...Mesa Campus start there classes this July 13, 2015"
Apollo College-New Mexico,,,,,"* New Mexico Campus will start in 39 days August 10, 2015."
Apollo College-Portland,,,,,"* Portland Campus also start in 39 days August 10, 2015."
Apollo College-Spokane,,,,,"* Spokane Campus also start in 39 days August 10, 2015."
Apollo College-Westside,,,,,"* Westside Campus will start in 34 days August 3, 2015."
Appalachian Technical College,,,,,* now Chattahoochee Technical College.
Aquinas College,,,,,
Argosy University-Atlanta,,,,,
Argosy University-Dallas,,,,,
Argosy University-Dc,,,,,
Argosy University-Honolulu,,,,,
Argosy University-Orange Co,,,,,
Argosy University-Phoenix,,,,,
Argosy University-Sarasota,,,,,
Argosy University-Schaumburg,,,,,
Argosy University-Seattle,,,,,
Argosy University-Tampa,,,,,
Argosy University-Twin Cities,,,,,
Arkansas No-Eastern Clg-Byythe,,,,,
Arkansas State Univ-Beebe,,,,,
