University Name, Website, College Application Submission Date, Source
UC Berkeley, www.berkeley.edu, 11/30/2015, http://admissions.berkeley.edu/datesdeadlines
Lake Forest College, www.lakeforest.edu, ,
Pace University, pace.edu, ,
Randolph-Macon College, None, ,
Rocky Mountain College, www.rocky.edu, ,
Northwestern Polytechnic University, npu.edu, ,
John Carroll University, www.jcu.edu, ,
Canisius College, www.canisius.edu, ,
Elmhurst College, www.elmhurst.edu, ,
University of Texas, El Paso, www.utep.edu, ,
Temple University, www.temple.edu, ,
CUNY Hunter College, hunter.cuny.edu, ,
University of Louisiana-Lafayette, None, ,
Millikin University, www.millikin.edu, ,
Briarwood College, http://www.lincolncollegene.edu/, ,
Wisconsin Lutheran College, http://www.wlc.edu, ,
Kansas State University, k-state.edu, ,
Texas A&M University - Commerce, None, ,
Lyon College, www.lyon.edu, ,
South College, www.southcollegetn.edu, ,
Meredith College, meredith.edu, ,
Milwaukee School of Engineering, msoe.edu, ,
San Francisco State University, www.sfsu.edu, ,
Virginia Commonwealth University, www.vcu.edu, ,
Youngstown State University, www.ysu.edu, ,
George Fox University, georgefox.edu, ,
Hamline University, www.hamline.edu, ,
Patten University, www.patten.edu, ,
Oglethorpe University, www.oglethorpe.edu, ,
Biola University, www.biola.edu, ,
Northern Kentucky University, www.nku.edu, ,
Marietta College, None, ,
Rhode Island College, http://www.ric.edu/, ,
New Mexico Tech, www.nmt.edu, ,
Oklahoma Baptist University, www.okbu.edu, ,
Maine Maritime Academy, mainemaritime.edu, ,
Messiah College, www.messiah.edu, ,
Ohio Valley University, www.ovu.edu, ,
Albright College, www.albright.edu, ,
Georgetown College, georgetowncollege.edu, ,
Duquesne University, www.duq.edu, ,
University of Dayton, www.udayton.edu, ,
Kent State University, www.kent.edu, ,
Ursuline College, http://www.ursuline.edu/, ,
University of Wisconsin-Milwaukee, None, ,
Marian College, None, ,
Truman State University, www.truman.edu, ,
Houghton College, www.houghton.edu, ,
University of Nebraska, www.unl.edu, ,
University Of The Ozarks, None, ,
Johnson & Wales University, None, ,
University of Central Florida, www.ucf.edu, ,
Marlboro College, www.marlboro.edu, ,
Grand Valley State University, www.gvsu.edu, ,
University of Colorado  Denver, www.ucdenver.edu, ,
University of Arkansas - Little Rock, None, ,
Indiana State University, www.indstate.edu, ,
Pacific University, official website, ,
Western Illinois University, http://www.wiu.edu, ,
Washington College, www.washcoll.edu, ,
Coe College, www.coe.edu, ,
Richard Stockton College of NJ, www.stockton.edu, ,
Maryville University of Saint Louis, www.maryville.edu, ,
Kennesaw State University, www.kennesaw.edu, ,
Florida Atlantic University, Boca Raton, None, ,
Sonoma State University, www.sonoma.edu, ,
Rockhurst University, www.rockhurst.edu, ,
Lamar University, www.lamar.edu, ,
Northern Arizona University, www.nau.edu, ,
St. Cloud State University, www.stcloudstate.edu, ,
Southern Illinois University Edwardsville, www.siue.edu, ,
Abilene Christian University, www.acu.edu, ,
University of North Carolina at Charlotte,  www.uncc.edu , ,
University of Houston, www.uh.edu, ,
University of Texas at Dallas, utdallas.edu, ,
University of North Florida, www.unf.edu, ,
California State University Chico, csuchico.edu, ,
Ouachita Baptist University, www.obu.edu, ,
Ohio University, www.ohio.edu, ,
Baker University, bakeru.edu, ,
Rider University, www.rider.edu, ,
Goshen College, www.goshen.edu, ,
Oklahoma City University, www.okcu.edu, ,
Berry College, www.berry.edu, ,
John Brown University, http://www.jbu.edu, ,
Emerson College, www.emerson.edu, ,
Alfred University, www.alfred.edu, ,
Nebraska Wesleyan University, www.nebrwesleyan.edu, ,
Elmira College, www.elmira.edu, ,
Spelman College, www.spelman.edu, ,
Valparaiso University, www.valpo.edu, ,
University of Mary Washington, www.umw.edu, ,
Metropolitan State University, www.metrostate.edu, ,
University of Texas - Pan American, None, ,
Cleveland State University, www.csuohio.edu, ,
Missouri State University, www.missouristate.edu, ,
Saint Joseph's University, None, ,
University of Nevada at Reno, www.unr.edu, ,
Hastings College, www.hastings.edu, ,
Georgia Southern University, www.georgiasouthern.edu, ,
Maryville College, maryvillecollege.edu, ,
University of San Diego, None, ,
Morgan State University, www.morgan.edu, ,
Oregon State University, www.oregonstate.edu, ,
Florida Agricultural and Mechanical University, www.famu.edu, ,
Sam Houston State University, www.shsu.edu, ,
Howard University, www.howard.edu, ,
New Mexico State University, www.nmsu.edu, ,
Augustana College, None, ,
St Edwards University, stedwards.edu, ,
Towson University, www.towson.edu, ,
CUNY College of Staten Island, None, ,
Portland State University, www.pdx.edu, ,
Stetson University, www.stetson.edu, ,
Gonzaga University, www.gonzaga.edu, ,
Oklahoma State University, go.okstate.edu, ,
Morehouse College, morehouse.edu, ,
Albion College, www.albion.edu, ,
Fairfield University, www.fairfield.edu, ,
Utah State University, www.usu.edu, ,
East Central College, www.eastcentral.edu, ,
Birmingham Southern College, www.bsc.edu, ,
Jackson State University, www.jsums.edu, ,
University of Northern Colorado, www.unco.edu, ,
Elizabethtown College, elizabethtown college, ,
University of Alabama, www.ua.edu, ,
University of Evansville, www.evansville.edu, ,
University of South Dakota, www.usd.edu, ,
Catawba College, www.catawba.edu, ,
Embry Riddle Aeronautical University-Prescott, None, ,
University of North Dakota, und.edu, ,
Blinn College, www.blinn.edu, ,
Oregon Institute of Technology, www.oit.edu, ,
University of Massachusetts, www.massachusetts.edu, ,
